STATION,PLATFORM,SERVING LINE,ORIGIN,DESTINATION,CONNECTION,DURATION,TRANSPORT_MODE,DELAY,STATUS
MILCHHOF,Milchhof::1,U12,Neckargröningen Remseck,Dürrlewang,U12:Neckargröningen Remseck-Dürrlewang,29,Stadtbahn,0,On time
MILLÖCKERSTRASSE,Millöckerstraße::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,35,Stadtbahn,0,On time
FAUSTSTRASSE,Fauststraße::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),42,Stadtbahn,0,On time
WANGENER__LANDHAUSSTRASSE,Wangener-/Landhausstraße::Gleis 4,U4,Hölderlinplatz,Untertürkheim Bf,U4:Hölderlinplatz-Untertürkheim Bf,7,Stadtbahn,0,On time
MILLÖCKERSTRASSE,Millöckerstraße::1,U2,Neugereut,Botnang,U2:Neugereut-Botnang,3,Stadtbahn,0,On time
MILCHHOF,Milchhof::2,U12,Dürrlewang,Neckargröningen Remseck,U12:Dürrlewang-Neckargröningen Remseck,24,Stadtbahn,0,On time
FAUSTSTRASSE,Fauststraße::1,U14,Mühlhausen (Stgt.),Vaihingen Bf,U14:Mühlhausen (Stgt.)-Vaihingen Bf,2,Stadtbahn,0,On time
WANGENER__LANDHAUSSTRASSE,Wangener-/Landhausstraße::Gleis 2,U9,Vogelsang,Hedelfingen,U9:Vogelsang-Hedelfingen,10,Stadtbahn,0,On time
MILLÖCKERSTRASSE,Millöckerstraße::2,U2,Botnang,Neugereut,U2:Botnang-Neugereut,35,Stadtbahn,0,On time
MILCHHOF,Milchhof::1,U12,Neckargröningen Remseck,Dürrlewang,U12:Neckargröningen Remseck-Dürrlewang,29,Stadtbahn,0,On time
FAUSTSTRASSE,Fauststraße::2,U14,Vaihingen Bf,Mühlhausen (Stgt.),U14:Vaihingen Bf-Mühlhausen (Stgt.),42,Stadtbahn,0,On time
